Branch ID,Branch Name,Owner Agent,Past State,Present State,Next State Obligation,Authority,Validation Status,Residual,Promotion Rule,Sources
PROV-001,Recursive Safety Stack provenance chain,Branch Registry / Hallucination Detector / Code Custodian,User confirmed safety-stack material was copied/pasted from prior ChatGPT work. May17 Gmail thread and May17 Drive source were recovered.,Original full-code ChatGPT export remains unrecovered. May17 Gmail is oldest recovered operating-rule provenance. May17 Drive document is oldest recovered full-code derivative.,Only compare future export/source against May17 Drive derivative; do not promote May17 Drive doc to original chat.,A1 Gmail metadata/body for May17 thread; A2/B1 Drive derivative for full code; original export not recovered.,[SOURCE-CONTACTED] [PROVENANCE-CORRECTED] [RESIDUAL OPEN],Exact original ChatGPT export segment containing full HTD code not recovered.,Promote original-source status only if exact ChatGPT export or original chat segment is recovered and matches.,original_chat_export_recovery_pass08.md; provenance_branch_consolidation_pass09.md; original_export_deep_search_pass10.md
CORE-001,Universal User-AI Convergence OS,Export/Handoff Agent / Hallucination Detector,May19 and July9 Universal Startup documents ingested.,Controls universal not-legal-only operating architecture.,"Apply to every future chat, project, evidence review, software session, and SIM/agent workflow.",A2 Drive documents / B1 prior work product.,[LOCKED OPERATING ARCHITECTURE],Not a proof system; operational architecture only.,Already locked as governing workflow unless user replaces baseline with a newer locked version.,college_papers_ai_ingestion_pass04_manifest.md; pass04 report; Universal Startup Drive source
CORE-002,HTD Recursive Safety Stack baseline v1.1,Simulation/Validation Agent / Branch Registry Agent,Recovered from May17 Drive source and July9 copies; raw extraction contained copy/paste artifacts.,Oldest recovered full-code derivative; raw extracted code not clean baseline; cleaned divergent branch executed in current runtime with warnings.,Keep May17 Drive as recovered baseline and cleaned Python as divergent execution branch.,A2/B1 for May17 Drive; code-supported for cleaned branch; execution-supported only for current run results.,[PARTIALLY EXECUTED] [DIVERGENT CLEANED BRANCH TESTED] [NOT EMPIRICAL VALIDATION],Original full-code ChatGPT export not recovered; raw extraction compile fault was transcript artifact.,Only the exact cleaned file may support run claims; no DT empirical claims from toy run.,test_everything_run01_report.md; chat_derived_provenance_correction_pass06.md; recovered_source_verification_pass07.md
CORE-003,Perception Points Architecture,Perception Log Agent,Drive-as-storage-nervous-system architecture ingested.,"Active memory layer for preserved middle states, branch-worthy states, source-copy events, checkpoints, hallucination corrections, and user/AI convergence states.",Convert major branch updates into Perception Point records when they affect continuity or memory state.,A2 Drive source / B1 prior work product.,[LOCKED ARCHITECTURE],Needs actual Drive memory file updates to remain synchronized.,Promote each perception point only after source/contact/status/residual are recorded.,college_papers_ai_ingestion_pass04_manifest.md; Perception Points Drive source
SIM-001,DT Recursive Phase-Correction Simulation,Simulation/Validation Agent / Code Custodian,dt_sim_reconstructed.py and phase-correction lane ingested; prior bounded runs reported.,Toy simulation branch executed previously; full long run bounded due timeout; direct/fact-only correction often outperformed topology/hybrid in visible-target setting.,Do not generalize; use adversarial topology conditions when testing relational advantage.,Code-supported and run-supported only for current/runtime runs and logs.,[EXECUTED TOY SIM] [NOT PHYSICS VALIDATION],Need exact run-command/version lock for every result.,"Promote only if same result survives multiple seeds, null controls, and script/version hash lock.",test_everything_run01_report.md; dt_sim_reconstructed.py; validation CSVs
SIM-002,Adversarial Topology Solver,Simulation/Validation Agent,Topology solver branch recovered and tested; complete topology solver beat visible-only in hidden-data cases.,Strongest topology win is conditional: relational constraints help when direct facts are sparse and topology is intact; corrupted anchors remain failure mode.,Build poisoned-anchor/outlier robust topology solver v2.,Code-supported and run-supported for toy adversarial tests.,[EXECUTED TOY SIM] [CONDITIONALLY PROMOTED],Corrupted-anchor performance not fully solved.,Promote v2 only if corrupted-anchor performance improves without damaging hidden-data performance.,topology_solver_adversarial_run outputs; topology_solver_report.md; topology_solver_summary.csv
SIM-003,C-vector predictive simulation,Simulation/Validation Agent / Equation Custodian,"C-vector, ΔR² and future robustness toy branches ingested.",Positive-control toy evidence only; target construction included C-vector dependency.,Replace built-in target dependency with real OOD/robustness dataset or stronger null tests.,"Code-supported/toy-run-supported, not empirical.",[TOY POSITIVE CONTROL] [NOT EMPIRICAL],Need real dataset or adversarial null where C-vector is not built into target.,Promote only if C-vector adds predictive value on independent data.,dt_cvector_run files; dt_cvector_null_tests; equation ledger v2
SIM-004,GPS-denied drift suppression,Code Custodian / Simulation Validation,GPS-denied drift PDF and duplicate ingested; toy surrogate outputs ingested.,"Falsifiable aerospace-control concept; persistence-weighted correction layer, not a replacement for Kalman/state estimation.",Benchmark against EKF/UKF/VIO/UWB/IMU baselines and reduce false positives.,B1/A2 prior work product; toy-output supported where CSV exists.,[PARTIALLY INGESTED] [TOY SURROGATE] [NOT PRODUCT VALIDATED],False-positive risk and baseline comparisons remain.,Promote if it outperforms baseline under defined noise/drift scenarios without excess false positives.,college_papers_ai_ingestion_pass05_manifest.md; GPS PDF; gps_denied CSV
SIM-005,Lithium BBN / Xi_gamma survival filter,Equation Custodian / Simulation Validation,Lithium validation packet and paper files ingested.,Mathematical/surrogate survival filter exists; not cosmology proof.,Separate mathematical filter from astrophysical claim and compare with BBN literature/observational constraints.,B1/A2 prior work product; toy calculation supported where outputs exist.,[TOY CALCULATION] [NOT COSMOLOGY VALIDATION],Parameter origin and external observational fit not validated.,Promote only after external literature-grounded comparison and constraints check.,DT_Lithium_Validation_Packet_v0_1.md; Li BBN papers; equation ledger v2
SIM-006,Prism Defense / AI safety branch,Hallucination Detector / Branch Registry,Prism Defense and digital-nuclear language recovered as branch history.,Defensive AI safety concept; dual-use language must remain quarantined.,"Map safe defensive architecture only; prohibit exploit, offensive cyber, or weaponization instructions.",B1 prior work product; safety-gated.,[QUARANTINED FOR DUAL-USE] [DEFENSIVE ONLY],Needs clean non-escalatory public-safe framing.,Promote only as defensive monitoring/validation architecture with no operational abuse content.,branch_ingestion_manifest_v2.md; college_papers_ai manifests
SIM-007,Propulsion / Distel Drive correction branch,Equation Custodian / Hallucination Detector,Speculative propulsion/Drive material ingested; corrected Newtonian/conservation-safe bridge fetched.,"Original overclaim branch preserved but quarantined. Corrected branch reframed as field-mediated environmental exchange with conservation, causality, and detectability gates.",Use only corrected conservation-safe derivative; keep reactionless/perfect cloak/future-peeking claims deauthorized.,B1/A2 prior work product; speculative unless externally derived/tested.,[QUARANTINED ORIGINAL] [CORRECTED DERIVATIVE PRESERVED] [NOT VALIDATED PHYSICS],No empirical physics validation.,No promotion without conservation-safe formal derivation and external empirical constraints.,college_papers_ai_ingestion_pass05_manifest.md; propulsion PDFs
AGENT-001,DT Equation Custodian Agent,Equation Custodian,Equation ledger v2 created with 23 admitted equation/equation-family entries.,"Tracks exact expressions, source contact, status, and limitations.",Map each equation to exact source page/line where possible and connect to code/test branch.,Equation-supported only where exact expression is present.,[ACTIVE AGENT] [LEDGER CREATED],Need per-equation source-line mapping and empirical/theoretical status refinement.,No equation supports empirical claims unless paired with validated test/source.,dt_equation_ingestion_ledger_v2.md
AGENT-002,Code Custodian Agent,Code Custodian,Code ingestion v2 and code archive were created; test everything run checked accessible code.,"Tracks code artifacts, hashes, compile/run status, archive status, and divergent correction branches.",Keep every new script archived with exact status and run claim boundaries.,Code-supported/run-supported when exact artifact exists and executed.,[ACTIVE AGENT] [TESTED ARTIFACTS TRACKED],Need continuing Drive sync for code archive outputs.,No script listed runnable unless exact code exists and compile/run status is recorded.,code_custodian_ingestion_v2.md; test_everything_run01_report.md
AGENT-003,Hallucination Detector Agent,Hallucination Detector,"Safety and overclaim rules ingested from Universal OS, project directions, and correction passes.",Active before public/scientific/legal/product/code promotion.,Run detector before any public export or claim escalation.,Operating-rule supported.,[ACTIVE SAFETY GATE],Needs explicit checklist file attached to master registry.,"Claims fail promotion if source, test, or authority tier is missing.",project directions; Universal OS; provenance correction passes
EXPORT-001,Drive Memory / Registry Sync,Export-Handoff / Memory Sync Agent,Ingestion passes 01–10 produced multiple local manifests and reports.,Master branch registry Pass 11 created; Drive upload/update still must be completed or honestly marked failed.,Upload/update MemoryConvergence or College Papers/AI Drive lane with registry and update packet.,Current-runtime file-supported after creation; Drive-supported only after upload succeeds.,[IN PROGRESS],Drive write permission/tool success unknown until attempted.,Mark [DRIVE-SYNCED] only after connector confirms upload/update.,this pass
